"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
3212,607074,"Rodón, Carlos",3213,100,0.188,0.133,0.23,0.321,0.266,0.283,0.208,132,701,87.9,12.3,2321,89.6,89,444,1463,1749,-0.5999999999999943,6.06,109,150,123,151,294,321,284,"27.865","-27.865","70.2","7.4",789,504,83,27,0,22,203,25.7,73,9.3,2.21938,0.66054,0.50936,-0.27836,"91.8",150,39.12175648702595,7.584830339321358,4.816223067173637,6.35,2.33,0.1,2.1,0.272,38,"-0.86752802",0.291,0.342,"0.86752802",-0.02,-0.01899999999999996,-0.021,-0.017,30.3,"44.4",10.554443210087971,-2.534520359441844,32.75141996810374,0.524176594253679,37.56743944491328,31.136440929324152
3109,608331,"Fried, Max",3110,100,0.223,0.111,0.28,0.334,0.272,0.287,0.236,164,737,86.7,6.7,2363,88.3,88.58,388,1458,1651,0.29999999999999716,6.48,110,150,122,151,293,321,284,"20.834","-20.834","70.1","7.1",801,551,117,26,7,14,189,23.6,51,6.4,2.82374,0.18307,-0.06119,0.01715,"91.9",139,37.408759124087595,6.934306569343065,4.7440699126092385,6.02,1.57,0.02,2.39,0.281,38,"-0.670119009",0.294,0.354,"0.670119009",-0.013,-0.012999999999999956,-0.02,-0.015,26.6,"46.1",7.218892782605493,2.7793517205120266,32.28785389976961,0.4337265787647467,36.4586768779015,28.39994250933499
2945,663623,"Irvin, Jake",2947,99.9,0.272,0.22,0.282,0.492,0.355,0.36,0.278,195,717,90,12.5,2370,86.8,88.06,251,1377,1568,1.2999999999999972,7.06,113,149,120,150,303,326,301,"-29.546","29.546","70.4","7.2",787,595,116,38,3,38,124,15.8,62,7.9,2.61508,0.46544,0.25311,0.04684,"92.8",159,47.217537942664414,11.973018549747048,9.021601016518424,5.67,-2.25,0.07,2.4,0.334,71,"1.003259762",0.34,0.498,"-1.003259762",-0.006,-0.006000000000000005,-0.006,-0.005,18.2,"27.1",10.180653170468494,-0.8959311975155169,31.693330444509083,0.508524833209785,36.634959265092974,31.23753159048737
2818,669022,"Gore, MacKenzie",2819,100,0.252,0.15,0.327,0.402,0.318,0.322,0.244,152,602,89.8,15.8,2230,89.8,90.58,413,1391,1427,0.7999999999999972,6.87,109,150,121,149,300,321,297,"0.386","-0.386","69.3","7.2",679,426,103,28,1,20,185,27.2,63,9.3,2.31335,0.56255,0.28833,-0.20914,"91.7",170,44.13145539906103,10.56338028169014,6.62739322533137,5.69,1.91,-0.1,2.36,0.325,45,"-0.013697658",0.321,0.409,"0.013697658",0.008,0.0040000000000000036,-0.007,-0.004,29.7,"45.1",8.724078066627445,-0.0967258858792377,31.237558783547914,0.4616508400292184,36.46600639620034,29.51393364600054
2802,701542,"Warren, Will",2808,99.8,0.25,0.168,0.304,0.418,0.321,0.329,0.255,158,631,90.5,11.8,2573,89.5,90.02,295,1198,1604,0.5,6.71,114,149,121,151,293,323,287,"-4.986","4.986","70.5","7.2",711,470,100,32,4,22,171,24.1,65,9.1,2.33663,0.55395,0.2667,0.01887,"92.5",161,45.41577825159915,10.874200426439232,7.172995780590717,5.55,-2.5,0.02,2.22,0.32,51,"0.177944325",0.328,0.42,"-0.177944325",-0.005,-0.008000000000000007,-0.002,-0.008,24.6,"27.2",8.404918780596683,2.342011440404524,32.1642294173372,0.5266781411359724,38.29459310826157,28.726428147522647
2746,571510,"Boyd, Matthew",2747,100,0.235,0.134,0.276,0.369,0.287,0.3,0.242,154,656,87.9,17.4,2224,85.9,85.81,326,1414,1332,-0.10000000000000853,6.29,110,151,118,151,302,322,296,"16.835","-16.835","69.6","7.2",718,513,107,25,3,19,154,21.4,42,5.8,2.61248,0.56786,0.73913,-0.46845,"91.4",167,38.16046966731898,9.001956947162427,6.406685236768802,5.46,2.35,0.11,2.43,0.288,46,"-0.613073562",0.295,0.389,"0.613073562",-0.007,-0.007000000000000006,-0.02,-0.013,23.1,"25.2",8.451673749256447,-2.1185652390882,31.514596562923046,0.44284687275341483,37.56343608830291,31.59323853662852
2705,680730,"Parker, Mitchell",2707,99.9,0.273,0.193,0.287,0.466,0.342,0.367,0.301,178,653,91.9,14.3,2077,88.6,89.54,272,1386,1319,0.9000000000000057,6.86,108,150,121,148,303,324,300,"-19.635","19.635","69.9","7.1",725,560,106,43,4,25,103,14.2,58,8,2.12289,0.80911,0.27075,-0.20467,"92.8",171,50.179211469534046,9.67741935483871,7.448275862068964,6.24,1.47,0.03,2.49,0.331,54,"0.725878004",0.359,0.494,"-0.725878004",-0.028,-0.02799999999999997,-0.028,-0.025,19.6,"60.8",8.29226307536415,0.4814463009154155,30.486361533075847,0.4907749077490775,36.777478803976706,29.91571089749212
2534,607067,"Rea, Colin",2536,99.9,0.258,0.155,0.293,0.413,0.314,0.329,0.266,155,601,89.1,13.4,2125,89.4,89.99,265,1207,1327,0.5999999999999943,6.63,114,150,118,152,298,321,299,"2.316","-2.316","69.7","7.1",662,485,104,29,2,20,127,19.2,44,6.6,2.3303,0.55156,0.32943,-0.1276,"92.2",161,41.03092783505154,10.309278350515463,7.552870090634441,5.57,-1.65,0.03,2.41,0.312,50,"-0.091397001",0.321,0.431,"0.091397001",-0.008,-0.009000000000000008,-0.018,-0.015,22,"30.4",7.711397849995904,0.5699122648574743,31.761621749985597,0.47932489451476795,37.2530433887861,29.61733575171116
2176,684007,"Imanaga, Shota",2178,99.9,0.218,0.214,0.22,0.432,0.293,0.312,0.237,117,537,90,21.4,2104,86.2,85.88,288,1171,1005,-0.29999999999999716,6.21,111,152,119,151,302,322,296,"5.694","-5.694","71.0","7.5",567,423,65,20,1,31,117,20.6,26,4.6,2.18603,0.9282,0.65895,-0.50123,"92.2",178,43.705463182897866,11.63895486935867,8.641975308641975,5.42,2.57,-0.01,2.51,0.254,49,"-0.261672794",0.273,0.458,"0.261672794",-0.019,-0.019000000000000017,-0.026,-0.019,24.6,"35.8",11.476748253431754,-6.521538082533609,30.58846018487465,0.5559440559440559,37.266832674114454,33.722274486193044
2128,695418,"Lord, Brad",2129,100,0.255,0.16,0.293,0.415,0.319,0.334,0.273,126,494,88.1,9.8,2299,91.6,90.42,226,1063,1065,-1.1999999999999886,5.61,112,149,120,150,303,325,298,"-5.767","5.767","69.4","6.8",546,392,84,22,3,17,108,19.8,43,7.9,2.17413,0.56869,1.08958,-0.18274,"91.9",166,41.83673469387755,7.142857142857142,5.128205128205128,5.36,-2.46,-0.13,2.42,0.317,28,"0.271005639",0.334,0.43,"-0.271005639",-0.018,-0.017000000000000015,-0.015,-0.015,21.3,"19.5",3.8602629287883135,8.362278459681477,32.96735651712776,0.3716475095785441,36.05219457906116,24.59407941014505
1979,592791,"Taillon, Jameson",1979,100,0.225,0.202,0.234,0.427,0.297,0.304,0.243,110,489,87.8,19.5,2377,86.8,87.4,199,959,1020,0.6000000000000085,6.71,113,150,116,152,298,323,298,"4.04","-4.04","68.9","7.3",519,394,61,23,2,24,98,18.9,27,5.2,2.34469,0.72341,0.07085,-0.28806,"91.7",168,38.42239185750636,8.142493638676845,6.165703275529865,6.16,-1.22,-0.02,2.38,0.265,32,"-0.204143507",0.283,0.417,"0.204143507",-0.018,-0.01799999999999996,0.01,-0.007,20.8,"46.4",10.525289178715322,-4.898505768836082,30.66667171156282,0.5342612419700214,38.771868787518656,32.79080545169218
1788,690990,"Horton, Cade",1790,99.9,0.219,0.113,0.258,0.333,0.273,0.306,0.24,95,433,89.6,14.2,2431,90.9,90.62,224,869,919,-0.30000000000001137,6.18,113,150,118,152,300,323,299,"16.143","-16.143","70.0","7.3",476,339,67,17,1,10,97,20.4,33,6.9,2.12604,0.67634,-0.06273,-0.26128,"92.3",163,41.29793510324484,10.029498525073747,7.142857142857142,6.01,-2.4,-0.11,2.14,0.282,34,"-0.902852349",0.301,0.399,"0.902852349",-0.021,-0.019000000000000017,-0.066,-0.033,25.8,"48.6",9.03198542320612,-1.777742578886128,32.87731785422221,0.4416961130742049,37.60229059942397,30.761257534812255
1759,676962,"Brown, Ben",1759,100,0.279,0.187,0.348,0.467,0.345,0.328,0.257,121,433,91.7,12.7,2199,92.1,92.73,238,842,917,0.6000000000000085,6.69,111,149,115,151,299,321,296,"-15.998","15.998","69.0","7.2",472,315,80,19,4,18,121,25.6,32,6.8,1.97115,0.74049,0.30289,-0.02266,"92.6",166,47.3015873015873,11.428571428571429,7.627118644067797,6.46,-1.56,0.01,2.35,0.333,36,"0.909494031",0.313,0.443,"-0.909494031",0.022,0.020000000000000018,0.024,0.017,28.3,"45.0",9.696418526880764,-1.4309668434108869,31.06143698225447,0.5127582017010935,37.554736020831974,30.288645620730463
1528,647336,"Soroka, Michael",1528,100,0.216,0.159,0.263,0.374,0.302,0.289,0.21,72,334,88.7,14.2,2619,88.1,87.72,165,695,833,-0.3999999999999915,6.14,113,150,122,151,302,327,302,"4.312","-4.312","69.3","7.2",379,240,44,15,1,12,95,25.1,29,7.7,2.51501,0.48096,0.28988,-0.0599,"91.8",156,40.416666666666664,6.666666666666667,4.221635883905013,5.78,-2.66,0,2.44,0.306,16,"-0.282198953",0.302,0.337,"0.282198953",0.006,0.0040000000000000036,0.037,0.013,23.7,"32.8",10.482370628047248,-2.3224473916251402,31.860734790255048,0.5007320644216691,36.04425344779396,31.131781099259825
